#Total_Obs_CSFR: total observed cosmic star formation rate (Msun/yr/Mpc^3)
#Total_Obs_CSFR_UV: total observed cosmic star formation rate (Msun/yr/Mpc^3) for galaxies with M_1500 < -17
#True_CSFR: total true cosmic star formation rate (Msun/yr/Mpc^3)
#Scale Total_Obs_CSFR Err+ Err- Total_Obs_CSFR_UV Err+ Err- True_CSFR Err+ Err-
0.055623 4.60153e-10 1.10128e-06 4.60128e-10 0 9.34959e-07 0 4.84423e-10 1.13229e-06 4.84389e-10
0.060123 7.00236e-07 1.05517e-05 6.88704e-07 1.09875e-08 9.56014e-06 1.09875e-08 7.36945e-07 1.08329e-05 7.24959e-07
0.062373 4.56456e-06 2.42922e-05 4.32398e-06 9.48095e-07 2.19198e-05 9.48095e-07 4.80313e-06 2.50084e-05 4.52847e-06
0.064623 1.43378e-05 3.85251e-05 1.26235e-05 5.97727e-06 4.03293e-05 5.97727e-06 1.50849e-05 4.50917e-05 1.35286e-05
0.066873 3.59863e-05 4.82338e-05 3.08443e-05 2.15736e-05 5.21238e-05 2.13776e-05 3.78556e-05 5.75442e-05 3.26219e-05
0.069123 7.51208e-05 6.0201e-05 6.01835e-05 5.3211e-05 5.95241e-05 5.11788e-05 7.9011e-05 6.2535e-05 6.4023e-05
0.071373 0.00012819 7.4305e-05 9.53274e-05 9.51774e-05 7.15796e-05 8.69822e-05 0.000134808 7.25603e-05 0.00010239
0.073623 0.000193619 0.000106709 0.000127011 0.000143205 9.51882e-05 0.000118412 0.000203584 9.7929e-05 0.000134975
0.075873 0.000276998 0.000143926 0.0001611 0.000202691 0.000131059 0.00015029 0.00029121 0.000150338 0.00017182
0.078123 0.000383522 0.000189924 0.000192236 0.000277778 0.000184275 0.000189763 0.000403146 0.000213944 0.000217544
0.080373 0.000495348 0.000225003 0.000218487 0.000348472 0.000225186 0.000204821 0.000520606 0.000285323 0.00025798
0.082623 0.000596426 0.000266767 0.000276519 0.00041791 0.00023984 0.000220401 0.000626744 0.000294816 0.000290281
0.085998 0.000888249 0.000386194 0.00036639 0.000599019 0.000326572 0.000294581 0.000933194 0.000409491 0.000399089
0.089373 0.00120631 0.000497597 0.000411427 0.000795751 0.000401634 0.000341466 0.00126709 0.000560032 0.000465539
0.092748 0.0015888 0.000662906 0.000430503 0.00102772 0.000500497 0.00038477 0.00166848 0.000730882 0.000524965
0.096123 0.002046 0.000775423 0.00050248 0.00131436 0.000583355 0.000417455 0.00214807 0.000943161 0.000638267
0.099498 0.00257428 0.000939875 0.000618628 0.00164163 0.000692313 0.000434894 0.00270219 0.00103497 0.000722605
0.102873 0.00315783 0.00112836 0.000672178 0.00201676 0.000794998 0.000481972 0.00331408 0.00114673 0.000803736
0.106248 0.00377492 0.00133256 0.000779665 0.00241538 0.000901395 0.000503991 0.00396072 0.00130464 0.000932002
0.109623 0.00447205 0.00151044 0.000844715 0.00289348 0.00105166 0.00055345 0.00469124 0.00142658 0.000946521
0.112998 0.00513985 0.00158608 0.000905113 0.00336507 0.00107417 0.000592532 0.00538982 0.00146707 0.000929258
0.116373 0.00580601 0.00157346 0.00097635 0.00387494 0.00109462 0.000697339 0.00608759 0.00150116 0.000992196
0.119748 0.00649387 0.00174006 0.00101776 0.00442403 0.00115318 0.00073235 0.00680782 0.00158216 0.00105613
0.123123 0.00720577 0.00190572 0.0010666 0.00501042 0.00113505 0.000768654 0.00755265 0.00150622 0.00108071
0.126498 0.00793799 0.00196215 0.00112406 0.00561259 0.0011847 0.000808481 0.00831888 0.00161567 0.00108691
0.129873 0.00869481 0.00202518 0.00119191 0.0062445 0.00124745 0.0008484 0.00910921 0.00171077 0.00124017
0.133248 0.00947638 0.00217869 0.00127623 0.00690844 0.00126848 0.000933193 0.0099263 0.0017932 0.00135999
0.136623 0.0102548 0.00224461 0.00132314 0.00775859 0.00130252 0.00108443 0.0107385 0.00182622 0.00139384
0.141685 0.011491 0.00218581 0.00142284 0.00868419 0.00115099 0.00113492 0.0120286 0.00182454 0.00161833
0.146748 0.0127573 0.00207653 0.00159828 0.00983281 0.00105876 0.0012121 0.0133454 0.00181266 0.00179078
0.15181 0.0140032 0.0018578 0.00173876 0.0109873 0.0010635 0.00132862 0.0146342 0.00199943 0.00205059
0.156873 0.0152909 0.00181624 0.00181317 0.0122062 0.00093699 0.00147088 0.0159549 0.00187705 0.00232682
0.161935 0.0166687 0.00160819 0.00193288 0.0135413 0.000824204 0.00165117 0.017349 0.00166394 0.00259839
0.166998 0.0180708 0.00161095 0.00198706 0.0149122 0.00065 0.00186368 0.0187353 0.00175507 0.00284136
0.17206 0.0195875 0.00133279 0.00210907 0.0164407 0.000478621 0.00200444 0.0201903 0.00168218 0.00312902
0.177123 0.0211519 0.00108762 0.00215897 0.0180289 0.000451987 0.00215957 0.021624 0.00163982 0.00337969
0.182185 0.0227981 0.000837254 0.00234607 0.019694 0.000436323 0.00236196 0.0230495 0.00191021 0.00376081
0.187248 0.0245128 0.00078926 0.00254816 0.0214314 0.000415382 0.00237374 0.0244329 0.00203019 0.004125
0.19231 0.0264207 0.000640526 0.00265002 0.0233429 0.000425379 0.00247494 0.0258712 0.00222335 0.00435847
0.197373 0.0285302 0.000644571 0.00260584 0.0254538 0.000549333 0.00260365 0.0273499 0.00242962 0.00461458
0.202435 0.0305993 0.000761569 0.00253391 0.027512 0.000680013 0.00261889 0.0286135 0.00248767 0.0048267
0.207498 0.0328131 0.00085606 0.00257901 0.029699 0.000808503 0.00257604 0.0298339 0.00274773 0.00501682
0.21256 0.0356512 0.00110721 0.00257551 0.0325003 0.000930663 0.00265658 0.0314257 0.00298031 0.00515369
0.217623 0.0385905 0.00133406 0.00258958 0.0353951 0.00128566 0.00270931 0.0328931 0.00348152 0.00558519
0.222685 0.041567 0.00160239 0.00266156 0.0383466 0.0017147 0.00273361 0.034199 0.00382788 0.00559408
0.227748 0.0448289 0.00196202 0.00261743 0.0415621 0.0021239 0.00280736 0.035546 0.00452229 0.00577824
