#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 3.51766e-05 0 8.625 8.875 28428
9.00 0 0 0 8.875 9.125 50125
9.25 8.30727e-06 8.30196e-06 4.1556e-06 9.125 9.375 240753
9.50 6.30472e-05 0.000154243 7.88856e-06 9.375 9.625 919945
9.75 0.000523978 0.000950183 7.35306e-05 9.625 9.875 2.57454e+06
10.00 0.000633843 0.000700491 0.000199661 9.875 10.125 3.5624e+06
10.25 0.00129632 0.00117758 0.000662242 10.125 10.375 2.52792e+06
10.50 0.00397773 0.00294407 0.00141369 10.375 10.625 1.57803e+06
10.75 0.0123489 0.00705688 0.00311543 10.625 10.875 974584
11.00 0.0299885 0.0110128 0.00559782 10.875 11.125 594362
11.25 0.0631383 0.0134397 0.00841317 11.125 11.375 347887
11.50 0.120997 0.012918 0.0135589 11.375 11.625 204047
11.75 0.215067 0.0114097 0.0191184 11.625 11.875 118693
12.00 0.335674 0.00730106 0.0219004 11.875 12.125 68924
12.25 0.484877 0.0129746 0.0287364 12.125 12.375 39641
12.50 0.634402 0.0216619 0.0293598 12.375 12.625 22243
12.75 0.757583 0.0307683 0.0303534 12.625 12.875 12528
13.00 0.854335 0.0260794 0.0222008 12.875 13.125 6817
13.25 0.917704 0.0170606 0.0152991 13.125 13.375 3536
13.50 0.947427 0.0115384 0.00887978 13.375 13.625 1788
13.75 0.96483 0.00589597 0.00360793 13.625 13.875 853
14.00 0.971751 0.0028249 0.00291288 13.875 14.125 354
14.25 0.976744 0 0 14.125 14.375 129
14.50 1 0 0 14.375 14.625 34
14.75 1 0 0 14.625 14.875 4
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
